ddd,operadora,faixa,uf
11,oi,5700,SP
11,oi,5701,SP
11,oi,5702,SP
11,oi,5703,SP
11,oi,5704,SP
11,oi,5705,SP
11,oi,5706,SP
11,oi,5707,SP
11,oi,5708,SP
11,oi,5709,SP
11,oi,5710,SP
11,oi,5711,SP
11,oi,5712,SP
11,oi,5713,SP
11,oi,5714,SP
11,oi,5715,SP
11,oi,5716,SP
11,oi,5717,SP
11,oi,5718,SP
11,oi,5719,SP
11,oi,5720,SP
11,oi,5721,SP
11,oi,5722,SP
11,oi,5723,SP
11,oi,5724,SP
11,oi,5725,SP
11,oi,5726,SP
11,oi,5727,SP
11,oi,5728,SP
11,oi,5729,SP
11,oi,5730,SP
11,oi,5731,SP
11,oi,5732,SP
11,oi,5733,SP
11,oi,5734,SP
11,oi,5735,SP
11,oi,5736,SP
11,oi,5737,SP
11,oi,5738,SP
11,oi,5739,SP
11,oi,5740,SP
11,oi,5741,SP
11,oi,5742,SP
11,oi,5743,SP
11,oi,5744,SP
11,oi,5745,SP
11,oi,5746,SP
11,oi,5747,SP
11,oi,5748,SP
11,oi,5749,SP
11,oi,5750,SP
11,oi,5751,SP
11,oi,5752,SP
11,oi,5753,SP
11,oi,5754,SP
11,oi,5755,SP
11,oi,5756,SP
11,oi,5757,SP
11,oi,5758,SP
11,oi,5759,SP
11,oi,5760,SP
11,oi,5761,SP
11,oi,5762,SP
11,oi,5763,SP
11,oi,5764,SP
11,oi,5765,SP
11,oi,5766,SP
11,oi,5767,SP
11,tim,5787,SP
11,tim,5788,SP
11,tim,5789,SP
11,tim,5790,SP
11,tim,5791,SP
11,tim,5792,SP
11,tim,5793,SP
11,tim,5794,SP
11,tim,5795,SP
11,tim,5796,SP
11,tim,5797,SP
11,tim,5798,SP
11,tim,5475,SP
11,tim,5476,SP
11,tim,5477,SP
11,tim,5478,SP
11,tim,5479,SP
11,tim,5480,SP
11,tim,5481,SP
11,tim,5482,SP
11,tim,5483,SP
11,tim,5484,SP
11,tim,5485,SP
11,tim,5486,SP
11,tim,5487,SP
11,tim,5488,SP
11,tim,5489,SP
11,tim,5490,SP
11,tim,5491,SP
11,tim,5492,SP
11,tim,5493,SP
11,tim,5494,SP
11,tim,5495,SP
11,tim,5496,SP
11,tim,5497,SP
11,tim,5498,SP
11,vivo,5472,SP
11,vivo,5473,SP
11,vivo,5769,SP
11,vivo,5770,SP
11,vivo,5771,SP
11,vivo,5772,SP
11,vivo,5773,SP
11,vivo,5774,SP
11,vivo,5775,SP
11,vivo,5776,SP
11,vivo,5777,SP
11,vivo,5778,SP
11,vivo,5779,SP
11,vivo,5780,SP
11,vivo,5781,SP
11,vivo,5782,SP
11,vivo,5783,SP
11,vivo,5784,SP
11,vivo,5785,SP
