UF,UF_SIGLA,COD_MUN_COMPL,NOME_MUNICIPIO,COD_MUN,LONGITUDE,LATITUDE
Rondônia,RO,1100015,ALTA FLORESTA D'OESTE,110001,-61.99982389629358,-11.935540304764553
Rondônia,RO,1100379,ALTO ALEGRE DOS PARECIS,110037,-61.85307716860296,-12.131777224570904
Rondônia,RO,1100403,ALTO PARAÍSO,110040,-63.31762943349756,-9.716666738077278
Rondônia,RO,1100346,ALVORADA D'OESTE,110034,-62.27727486569718,-11.344130023433403
Rondônia,RO,1100023,ARIQUEMES,110002,-63.03326927804835,-9.908462866567197
Rondônia,RO,1100452,BURITIS,110045,-63.82967879175653,-10.209805407235551
Rondônia,RO,1100031,CABIXI,110003,-60.54431358120087,-13.499763459696254
Rondônia,RO,1100601,CACAULÂNDIA,110060,-62.903189934568736,-10.3388728393928
Rondônia,RO,1100049,CACOAL,110004,-61.442944211822415,-11.433865028685151
Rondônia,RO,1100700,CAMPO NOVO DE RONDÔNIA,110070,-63.62499142654262,-10.5684164693485
Rondônia,RO,1100809,CANDEIAS DO JAMARI,110080,-63.7000200718298,-8.785020703477477
Rondônia,RO,1100908,CASTANHEIRAS,110090,-61.949161196466186,-11.426842225462453
Rondônia,RO,1100056,CEREJEIRAS,110005,-60.818426164681455,-13.1950330320399
Rondônia,RO,1100924,CHUPINGUAIA,110092,-60.901847749955394,-12.5568407610938
Rondônia,RO,1100064,COLORADO DO OESTE,110006,-60.555067463078935,-13.13056384145525
Rondônia,RO,1100072,CORUMBIARA,110007,-60.94870117066143,-12.997520236483403
Rondônia,RO,1100080,COSTA MARQUES,110008,-64.23165393911724,-12.436013877714153
Rondônia,RO,1100940,CUJUBIM,110094,-62.587174531920944,-9.378193399057121
Rondônia,RO,1100098,ESPIGÃO D'OESTE,110009,-61.020173113284656,-11.528554633347252
Rondônia,RO,1101005,GOVERNADOR JORGE TEIXEIRA,110100,-62.74045763946318,-10.612071772607502
Rondônia,RO,1100106,GUAJARÁ-MIRIM,110010,-65.32395181969234,-10.773883740670453
Rondônia,RO,1101104,ITAPUÃ DO OESTE,110110,-63.182337016518304,-9.191871675327855
Rondônia,RO,1100114,JARU,110011,-62.476230708131666,-10.435948767884401
Rondônia,RO,1100122,JI-PARANÁ,110012,-61.945094582684135,-10.882051318349001
Rondônia,RO,1100130,MACHADINHO D'OESTE,110013,-61.9995925724466,-9.425562480000002
Rondônia,RO,1101203,MINISTRO ANDREAZZA,110120,-61.51892193010535,-11.196237984159103
Rondônia,RO,1101302,MIRANTE DA SERRA,110130,-62.66942709525657,-11.045609289937003
Rondônia,RO,1101401,MONTE NEGRO,110140,-63.295559167217476,-10.263097755883
